,Skills
0,S10 Demonstrate the different ways of communicating meaning from data in line with audience
1,requirements
2,S11 Produce clear and consistent technical documentation using standard organisational templates
3,"S12 Store, manage and distribute in compliance with data security standards and legislation"
4,S13 Explain data and results to different audiences in a way that aids understanding.
5,S14 Review own development needs
6,"S15 Keep up to date with developments in technologies, trends and innovation using a range of"
7,sources
8,S17 Operate as part of a multi-functional team
9,Behaviours
10,B1 Manage own time to meet deadlines and manage stakeholder expectations
11,B5 Work with a range of internal and external customers
12,B6 Value difference and be sensitive to the needs of others
